1,"푸들 (Poodle)","푸들은 독일에서 기원한 견종이지만, 현재 우리가 알고 있는 푸들의 모습과 특성은 프랑스에서 완성되었습니다. 초기에는 주로 물에서 사냥을 돕기 위한 수렵견으로 사용되었습니다.","푸들의 털은 곱슬곱슬하며 지속적으로 자라는 특성을 가지고 있어, 일반적인 털갈이로 인한 털빠짐이 거의 없고 푸들은 매우 활동적이고 에너지가 넘치는 견종입니다.","푸들은 새로운 명령과 트릭을 배우는 데 뛰어난 능력을 가지고 있고 푸들은 훈련에 대한 반응이 매우 좋습니다. 이들은 명령을 빠르게 배우며, 일관된 훈련을 통해 다양한 기술과 행동을 익힐 수 있습니다.","푸들은 지능 순위에서 두 번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
40,"실키 테리어 (Silky Terrier)","실키 테리어는 호주에서 기원한 견종으로, 요크셔 테리어와 오스트레일리안 테리어의 교배를 통해 개발되었습니다. 이들은 원래 농장에서 쥐와 다른 해충을 잡기 위해 길러졌지만, 점차 애완견으로 인기를 끌게 되었습니다.","실키 테리어는 소형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 긴 실크 같은 털을 가지고 있으며, 주기적인 빗질과 손질이 필요합니다. 털은 주로 파란색과 황갈색이 섞인 색상을 가지고 있습니다.","실키 테리어는 활발하고 똑똑하며 용감한 성격을 가지고 있습니다. 이들은 매우 에너지가 넘치며, 끊임없는 활동을 필요로 합니다. 또한 매우 영리하고 훈련이 잘 되지만, 독립적인 성향이 강하여 일관된 훈련이 필요합니다.","실키 테리어는 지능 순위에서 35번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
41,"불마스티프 (Bullmastiff)","불마스티프는 19세기 영국에서 기원한 견종으로, 마스티프와 불도그를 교배하여 개발되었습니다. 이들은 원래 사냥꾼의 조수로 길러졌으며, 특히 불법 사냥꾼을 추적하고 붙잡는 데 사용되었습니다.","불마스티프는 대형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 이들은 짧고 밀도 있는 털을 가지고 있으며, 근육질의 강력한 체격이 특징입니다. 털 손질은 비교적 간단합니다.","불마스티프는 용감하고 충성심이 강하며 보호 본능이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 특히 주인을 지키기 위해 모든 노력을 다합니다. 또한 매우 영리하고 훈련이 잘 되며, 훌륭한 경비견이 될 수 있습니다. 그러나 독립적인 성향도 가지고 있어 일관된 훈련이 필요합니다.","불마스티프는 지능 순위에서 69번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
42,"세인트 버나드 (Saint Bernard)","세인트 버나드는 스위스와 이탈리아 알프스 산맥에서 기원한 견종으로, 원래는 세인트 버나드 수도원의 수도사들이 눈 속에서 길을 잃은 여행자들을 구조하기 위해 길렀습니다. 이들은 뛰어난 후각과 강한 체력으로 유명합니다.","세인트 버나드는 대형견으로 털빠짐이 중간 정도이며, 낮은 활동력을 가지고 있습니다. 이들은 두꺼운 이중모를 가지고 있으며, 주기적인 털 손질이 필요합니다. 큰 몸집과 강력한 체격이 특징입니다.","세인트 버나드는 온순하고 친근하며 충성심이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 특히 아이들과 잘 지내는 경향이 있습니다. 또한 매우 인내심이 강하고 보호 본능이 강해 훌륭한 가족 보호견이 될 수 있습니다. 그러나 활동량이 많지 않아 충분한 운동이 필요합니다.","세인트 버나드는 지능 순위에서 70번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","-10°C ~ 15°C"
43,"뉴펀들랜드 (Newfoundland)","뉴펀들랜드는 캐나다 뉴펀들랜드에서 기원한 견종으로, 원래는 어부들이 물에서 물고기를 회수하고 물에 빠진 사람들을 구조하는 데 사용되었습니다. 이들은 뛰어난 수영 능력과 강한 체력으로 유명합니다.","뉴펀들랜드는 대형견으로 털빠짐이 중간 정도이며, 낮은 활동력을 가지고 있습니다. 이들은 두꺼운 이중모를 가지고 있으며, 방수 기능이 있는 털로 인해 추운 물 속에서도 체온을 유지할 수 있습니다. 주기적인 털 손질이 필요합니다.","뉴펀들랜드는 친근하고 온순하며 충성심이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 특히 아이들과 잘 지내는 경향이 있습니다. 또한 매우 인내심이 강하고 보호 본능이 강해 훌륭한 가족 보호견이 될 수 있습니다. 그러나 활동량이 많지 않아 충분한 운동이 필요합니다.","뉴펀들랜드는 지능 순위에서 34번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","-10°C ~ 15°C"
44,"아프간 하운드 (Afghan Hound)","아프간 하운드는 아프가니스탄에서 기원한 견종으로, 원래는 사냥견으로 길러졌습니다. 이들은 빠른 속도와 뛰어난 시각을 활용해 가젤과 같은 빠른 동물을 사냥하는 데 사용되었습니다. 고대부터 귀족들과 왕족들 사이에서 사랑받았습니다.","아프간 하운드는 대형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 길고 부드러운 털을 가지고 있으며, 주기적인 털 손질이 필요합니다. 우아한 체격과 기품 있는 외모가 특징입니다.","아프간 하운드는 독립적이고 고집이 세며, 사냥 본능이 강한 성격을 가지고 있습니다. 이들은 가족에게 애정을 보이지만, 낯선 사람에게는 경계심을 가질 수 있습니다. 또한 매우 민첩하고 빠르며, 충분한 운동과 활동이 필요합니다.","아프간 하운드는 지능 순위에서 79번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
45,"바센지 (Basenji)","바센지는 아프리카 중앙부, 특히 콩고에서 기원한 견종으로, 고대부터 사냥과 경비 목적으로 사용되었습니다. 이들은 뛰어난 후각과 시각을 가지고 있으며, 특유의 짖지 않는 성격으로 유명합니다.","바센지는 소형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 주기적인 손질이 필요합니다. 바센지는 주름진 이마와 꼬리가 등 위로 말려있는 모습이 특징입니다.","바센지는 독립적이고 호기심이 많으며 활동적인 성격을 가지고 있습니다. 이들은 가족에게 충성심이 강하지만, 낯선 사람에게는 경계심을 가질 수 있습니다. 또한 매우 영리하고 훈련이 잘 되지만, 고집이 셀 수 있어 일관된 훈련이 필요합니다.","바센지는 지능 순위에서 78번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","20°C ~ 30°C"
46,"베들링턴 테리어 (Bedlington Terrier)","베들링턴 테리어는 19세기 초반 영국의 베들링턴 마을에서 기원한 견종으로, 주로 쥐와 다른 작은 해충을 잡기 위해 개발되었습니다. 이들은 독특한 양 모양의 외모와 뛰어난 사냥 능력으로 유명합니다.","베들링턴 테리어는 중형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 이들은 곱슬거리는 털을 가지고 있으며, 주기적인 털 손질이 필요합니다. 베들링턴 테리어는 특유의 아치형 등과 작은 귀가 특징입니다.","베들링턴 테리어는 친근하고 활발하며 용감한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 다른 동물들과도 잘 어울립니다. 또한 매우 영리하고 훈련이 잘 되며, 다양한 활동에서 뛰어난 능력을 발휘합니다.","베들링턴 테리어는 지능 순위에서 36번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
47,"보르조이 (Borzoi)","보르조이는 러시아에서 기원한 견종으로, 원래는 귀족들이 늑대와 다른 큰 사냥감을 사냥하는 데 사용했습니다. 이들은 17세기부터 19세기까지 러시아 황실의 보호를 받으며 발전해왔습니다.","보르조이는 대형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 긴 이중모를 가지고 있으며, 주기적인 털 손질이 필요합니다. 날씬하고 우아한 체격을 가지고 있으며, 빠른 속도와 민첩함이 특징입니다.","보르조이는 온순하고 독립적이며 고상한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하지만, 낯선 사람에게는 경계심을 가질 수 있습니다. 또한 매우 민첩하고 빠르며, 충분한 운동과 활동이 필요합니다.","보르조이는 지능 순위에서 75번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
48,"브리타니 스패니얼 (Brittany Spaniel)","브리타니 스패니얼은 프랑스 브리타니 지역에서 기원한 견종으로, 주로 조류 사냥에 사용되었습니다. 이들은 뛰어난 후각과 지구력으로 유명하며, 오늘날에도 사냥견과 애완견으로 널리 사랑받고 있습니다.","브리타니 스패니얼은 중형견으로 털빠짐이 중간 정도이며, 높은 활동력을 가지고 있습니다. 이들은 짧고 밀도 있는 털을 가지고 있으며, 주기적인 빗질이 필요합니다. 털 색상은 주로 흰색과 오렌지색, 흰색과 간색 조합이 있습니다.","브리타니 스패니얼은 똑똑하고 활발하며 사교적인 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 다른 동물들과도 잘 어울립니다. 또한 매우 영리하고 훈련이 잘 되며, 다양한 작업과 스포츠에서 뛰어난 능력을 발휘합니다.","브리타니 스패니얼은 지능 순위에서 19번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
49,"보스턴 테리어 (Boston Terrier)","보스턴 테리어는 미국 보스턴에서 기원한 견종으로, 19세기 후반에 불독과 테리어를 교배하여 개발되었습니다. 이들은 작은 크기와 친근한 성격으로 인해 애완견으로 널리 사랑받고 있습니다.","보스턴 테리어는 소형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 주로 검은색과 흰색의 패턴을 가지고 있습니다. 주기적인 털 손질이 필요합니다.","보스턴 테리어는 친근하고 온순하며 장난기 많은 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 아이들과도 잘 어울립니다. 또한 매우 영리하고 훈련이 잘 되지만, 때로는 고집이 셀 수 있습니다.","보스턴 테리어는 지능 순위에서 54번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
50,"불 테리어 (Bull Terrier)","불 테리어는 19세기 영국에서 기원한 견종으로, 불독과 테리어를 교배하여 개발되었습니다. 이들은 원래 투견으로 사용되었지만, 오늘날에는 애완견으로 널리 사랑받고 있습니다.","불 테리어는 중형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 독특한 계란형 머리와 삼각형 눈이 특징입니다.","불 테리어는 용감하고 충성심이 강하며 활발한 성격을 가지고 있습니다. 이들은 매우 에너지가 넘치며, 끊임없는 활동을 필요로 합니다. 또한 매우 영리하고 훈련이 잘 되지만, 독립적인 성향이 강해 일관된 훈련이 필요합니다.","불 테리어는 지능 순위에서 66번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
51,"캐벌리어 킹 찰스 스패니얼 (Cavalier King Charles Spaniel)","캐벌리어 킹 찰스 스패니얼은 17세기 영국에서 기원한 견종으로, 특히 찰스 2세 왕이 이 견종을 매우 사랑한 것으로 유명합니다. 이들은 귀족과 왕실의 반려견으로 사랑받으며 발전했습니다.","캐벌리어 킹 찰스 스패니얼은 소형견으로 털빠짐이 중간 정도이며, 중간 정도의 활동력을 가지고 있습니다. 이들은 부드럽고 긴 털을 가지고 있으며, 주기적인 빗질이 필요합니다. 털 색상은 주로 블렌하임, 트라이컬러, 블랙 앤드 탄, 루비 등이 있습니다.","캐벌리어 킹 찰스 스패니얼은 친근하고 온순하며 사랑스러운 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 아이들과도 잘 어울립니다. 또한 매우 사교적이며, 다른 동물들과도 잘 지내는 경향이 있습니다. 훈련이 잘 되고, 다양한 트릭과 명령을 쉽게 배울 수 있습니다.","캐벌리어 킹 찰스 스패니얼은 지능 순위에서 44번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
52,"파라오 하운드 (Pharaoh Hound)","파라오 하운드는 고대 이집트에서 기원한 견종으로, 이집트의 파라오들이 사냥견으로 사용했던 것으로 알려져 있습니다. 오늘날에는 주로 몰타에서 애완견과 사냥견으로 길러지고 있습니다.","파라오 하운드는 중형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 주로 황갈색을 띠고 있습니다. 주기적인 운동과 활동이 필요합니다.","파라오 하운드는 똑똑하고 독립적이며 사냥 본능이 강한 성격을 가지고 있습니다. 이들은 매우 민첩하고 빠르며, 뛰어난 시각을 가지고 있습니다. 또한 가족과의 유대감이 강하고, 다른 동물들과도 잘 어울립니다. 그러나 독립적인 성향이 있어 때로는 고집을 부릴 수 있습니다.","파라오 하운드는 지능 순위에서 37번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
53,"로디지안 리지백 (Rhodesian Ridgeback)","로디지안 리지백은 아프리카 로디지아(현재의 짐바브웨)에서 기원한 견종으로, 주로 사자 사냥에 사용되었습니다. 이들은 뛰어난 사냥 능력과 강인한 체력으로 유명하며, 리지백이라는 이름은 등 위로 난 독특한 털의 능선에서 유래되었습니다.","로디지안 리지백은 대형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 능선 형태의 털이 특징입니다. 주기적인 운동과 활동이 필요합니다.","로디지안 리지백은 용감하고 독립적이며 보호 본능이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 주인을 지키려는 성향이 강합니다. 또한 매우 영리하고 훈련이 잘 되지만, 독립적인 성향이 있어 일관된 훈련이 필요합니다.","로디지안 리지백은 지능 순위에서 52번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
54,"스코티시 테리어 (Scottish Terrier)","스코티시 테리어는 19세기 초반 스코틀랜드에서 기원한 견종으로, 주로 쥐와 다른 해충을 잡기 위해 개발되었습니다. 이들은 작은 크기와 강한 사냥 본능으로 인해 농장과 가정에서 사랑받았습니다.","스코티시 테리어는 소형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 이들은 거친 이중모를 가지고 있으며, 주기적인 털 손질이 필요합니다. 짧고 단단한 몸매와 독특한 수염이 특징입니다.","스코티시 테리어는 독립적이고 고집이 세며 충성심이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하지만, 때로는 고집이 셀 수 있어 일관된 훈련이 필요합니다. 또한 용감하고 보호 본능이 강해 훌륭한 경비견이 될 수 있습니다.","스코티시 테리어는 지능 순위에서 65번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
55,"살루키 (Saluki)","살루키는 중동 지역에서 기원한 견종으로, 고대 이집트 시대부터 존재해왔습니다. 이들은 주로 가젤과 같은 빠른 사냥감을 추적하고 잡는 데 사용되었으며, 뛰어난 속도와 지구력으로 유명합니다.","살루키는 대형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 우아하고 날씬한 체격이 특징입니다. 주기적인 운동과 활동이 필요합니다.","살루키는 독립적이고 고상하며 충성심이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하지만, 낯선 사람에게는 경계심을 가질 수 있습니다. 또한 매우 민첩하고 빠르며, 충분한 운동과 활동이 필요합니다. 훈련에 있어서는 일관성이 필요합니다.","살루키는 지능 순위에서 77번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
56,"샤페이 (Shar Pei)","샤페이는 중국에서 기원한 견종으로, 고대부터 사냥, 경비, 그리고 싸움견으로 사용되었습니다. 이들은 독특한 주름진 피부와 푸른 혀로 유명하며, 중국 남부 지역에서 많이 길러졌습니다.","샤페이는 중형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 이들은 짧고 거친 털을 가지고 있으며, 특히 얼굴과 몸 전체에 걸친 주름이 특징입니다. 주기적인 털 손질이 필요합니다.","샤페이는 독립적이고 고집이 세며 충성심이 강한 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 보호 본능이 강해 훌륭한 경비견이 될 수 있습니다. 그러나 낯선 사람에게는 경계심을 가질 수 있으며, 일관된 훈련이 필요합니다.","샤페이는 지능 순위에서 51번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
57,"휘핏 (Whippet)","휘핏은 영국에서 기원한 견종으로, 그레이하운드와 비슷한 외모를 가지고 있지만 더 작은 크기를 가지고 있습니다. 이들은 19세기 후반에 노동자 계층에서 토끼 사냥과 경주를 위해 개발되었습니다.","휘핏은 중형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 짧고 매끄러운 털을 가지고 있으며, 날씬하고 민첩한 체격이 특징입니다. 주기적인 운동과 활동이 필요합니다.","휘핏은 온순하고 독립적이며 활동적인 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 아이들과도 잘 어울립니다. 또한 매우 민첩하고 빠르며, 충분한 운동과 활동이 필요합니다. 훈련에 있어서도 일관성과 인내심이 필요합니다.","휘핏은 지능 순위에서 51번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
58,"요르키 (Yorkie)","요크셔 테리어는 영국의 요크셔 지방에서 기원한 견종으로, 원래는 쥐잡이 개로 사용되었습니다. 산업혁명 시대에 노동자들이 쥐를 잡기 위해 기르던 이 견종은 점차 애완견으로 인기를 끌게 되었습니다.","요크셔 테리어는 소형견으로 털빠짐이 적고, 높은 활동력을 가지고 있습니다. 이들은 부드럽고 긴 털을 가지고 있으며, 사람의 머리카락과 비슷한 성질을 가지고 있어 알레르기 유발 가능성이 낮습니다. 주기적인 빗질과 손질이 필요합니다.","요크셔 테리어는 용감하고 활발하며 애정이 많은 성격을 가지고 있습니다. 이들은 작은 체구에도 불구하고 대담하며, 주인의 주의를 끄는 것을 좋아합니다. 또한 매우 영리하고 훈련이 잘 됩니다.","요크셔 테리어는 지능 순위에서 27번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
